DOI,Author
10.1007/s10739-012-9338-4,374
10.1007/s10739-013-9362-z,362
10.1007/s10739-013-9362-z,481
10.2307/4330777,796
10.2307/4330776,751
10.2307/4331378,93
10.2307/4331379,694
10.2307/4331370,519
10.2307/4331371,483
10.2307/4331372,234
10.2307/4331373,3
10.2307/4331376,282
10.2307/4331377,559
10.2307/4330513,340
10.2307/4330512,34
10.2307/4330511,11
10.2307/4330510,673
10.2307/4330517,476
10.2307/4330517,99
10.2307/4330516,72
10.2307/4330515,75
10.2307/4330514,220
10.2307/4330514,730
10.2307/4330514,489
10.2307/4331572,767
10.2307/4331573,801
10.2307/4331570,695
10.2307/4331571,84
10.2307/4331576,291
10.2307/4331577,344
10.2307/4331574,144
10.2307/4331575,818
10.2307/4331578,94
10.2307/4331579,234
10.2307/4331802,221
10.2307/4331775,523
10.2307/4331776,125
10.2307/4331801,722
10.2307/4331806,589
10.2307/4331807,600
10.2307/4331804,223
10.2307/4331773,44
10.2307/4331808,232
10.2307/4331809,129
10.2307/4331779,402
10.2307/4331598,106
10.2307/4331599,272
10.2307/4331594,217
10.2307/4331595,325
10.2307/4331596,575
10.2307/4331597,386
10.2307/4331590,282
10.2307/4331591,43
10.2307/4331592,604
10.2307/4331593,184
10.2307/4331110,632
10.2307/4331111,751
10.2307/4331112,313
10.2307/4331113,313
10.2307/4331978,124
10.2307/4331117,544
10.2307/4331118,642
10.2307/4331119,45
10.2307/4331974,523
10.2307/4331975,729
10.2307/4331972,291
10.2307/4331973,191
10.2307/4331970,184
10.2307/4331971,616
10.2307/4331059,796
10.2307/4330581,131
10.2307/4330733,768
10.2307/4330732,768
10.2307/4330731,768
10.2307/4330583,325
10.2307/4330736,212
10.2307/4330735,212
10.1007/s10739-013-9367-7,698
10.2307/4331604,260
10.2307/4331605,267
10.2307/4331606,179
10.2307/4330738,324
10.2307/4331600,618
10.2307/4331601,108
10.2307/4331602,345
10.2307/4331603,525
10.2307/4331116,128
10.2307/4331500,184
10.2307/4331976,277
10.2307/4331977,343
10.2307/4331053,703
10.2307/40271535,163
10.2307/40271532,390
10.2307/40271533,382
10.2307/4331057,73
10.2307/4330647,350
10.2307/4330647,178
10.2307/4330647,36
10.2307/4330646,792
10.2307/4330645,98
10.2307/4330644,189
10.2307/4330643,527
10.2307/4330642,133
10.2307/4330901,588
10.1007/s10739-014-9392-1,799
10.2307/29737523,425
10.2307/29737522,282
10.2307/29737521,668
10.2307/29737520,77
10.2307/29737527,306
10.2307/29737526,591
10.2307/29737525,85
10.2307/29737524,65
10.2307/4331686,83
10.2307/4331097,605
10.2307/4331345,66
10.2307/4331344,234
10.2307/4331341,411
10.2307/4331340,127
10.2307/4331343,21
10.2307/4331342,368
10.2307/4331349,158
10.2307/4331348,669
10.2307/4330730,71
10.2307/4331421,37
10.2307/4330737,324
10.2307/4331705,444
10.1007/s10739-012-9347-3,666
10.2307/4330734,768
10.2307/4331707,752
10.2307/4330508,211
10.2307/4330509,570
10.2307/4330509,75
10.2307/4330509,321
10.2307/4330509,556
10.2307/4330509,134
10.2307/4331254,35
10.2307/4330500,461
10.2307/4330502,570
10.2307/4330502,124
10.2307/4330502,321
10.2307/4330503,321
10.2307/4330504,636
10.2307/4330505,2
10.2307/4330506,805
10.2307/4331252,124
10.2307/4331250,85
10.2307/4331291,555
10.2307/4331742,125
10.2307/4331297,584
10.2307/4331744,709
10.2307/4331295,763
10.2307/4331294,127
10.2307/4331749,291
10.2307/4331748,591
10.2307/4331299,349
10.2307/4331298,132
10.1007/s10739-014-9397-9,279
10.2307/40271488,225
10.2307/40271489,315
10.2307/40271486,281
10.2307/40271487,828
10.2307/40271485,149
10.2307/4331129,89
10.2307/4331128,113
10.2307/4331128,625
10.2307/4331124,659
10.2307/4331127,175
10.2307/4331121,477
10.2307/4331120,615
10.2307/4331123,796
10.2307/4331122,85
10.2307/4331909,106
10.2307/4331908,229
10.2307/4331903,17
10.2307/4331902,763
10.2307/4331901,504
10.2307/4331900,332
10.2307/4331907,544
10.2307/4331906,704
10.2307/4331905,326
10.2307/4331904,156
10.2307/4330720,839
10.2307/4330721,324
10.2307/4330722,324
10.2307/4330725,588
10.2307/4330726,376
10.2307/4330727,676
10.2307/4330728,309
10.2307/4331633,274
10.2307/4331632,751
10.2307/4331632,124
10.2307/4331635,591
10.2307/4331634,90
10.2307/4331637,31
10.2307/4331636,599
10.2307/4331486,98
10.2307/4331487,234
10.2307/4331956,802
10.2307/4331957,181
10.2307/4331950,660
10.2307/40271568,200
10.2307/4331480,185
10.2307/4331481,409
10.2307/4330658,324
10.2307/4330659,324
10.2307/4330654,168
10.2307/4330655,324
10.2307/4330656,839
10.2307/4330657,251
10.2307/4330651,675
10.2307/4330652,415
10.2307/4330653,839
10.2307/4330653,324
10.2307/40271561,29
10.2307/4331959,387
10.2307/40271563,606
10.1007/s10739-015-9405-8,538
10.1007/s10739-012-9325-9,156
10.2307/29737518,562
10.2307/29737519,297
10.2307/29737516,224
10.2307/29737517,7
10.2307/29737514,119
10.2307/29737515,518
10.2307/29737510,253
10.2307/29737511,245
10.1007/s10739-015-9400-0,209
10.1007/s10739-013-9356-x,124
10.2307/4330570,663
10.2307/4331009,12
10.1007/s10739-013-9352-1,595
10.1007/s10739-013-9352-1,474
10.2307/4331550,17
10.2307/4331551,166
10.2307/4331552,211
10.2307/4331553,326
10.2307/4331006,313
10.2307/4331555,200
10.2307/4331556,267
10.2307/4331005,151
10.2307/4330846,400
10.2307/4331352,320
10.2307/4331353,327
10.2307/4331350,386
10.2307/4331351,615
10.2307/4331356,184
10.2307/4331357,325
10.2307/4331354,9
10.2307/4331793,234
10.2307/4331358,77
10.2307/4331822,317
10.2307/4331791,16
10.2307/4331796,296
10.2307/4331797,596
10.2307/4331794,318
10.2307/4331827,85
10.1007/s10739-014-9374-3,450
10.2307/4330535,602
10.2307/4330534,825
10.2307/4330537,461
10.2307/4330536,11
10.2307/4330531,607
10.2307/4330530,566
10.2307/4330533,138
10.2307/4330532,516
10.2307/4330539,155
10.2307/4331758,163
10.2307/4331759,829
10.2307/4331757,211
10.2307/4331757,677
10.2307/4331752,267
10.2307/4331753,184
10.2307/4331750,103
10.2307/4331751,187
10.2307/4331280,381
10.2307/4331281,409
10.2307/4331282,164
10.2307/4331283,235
10.2307/4331284,152
10.2307/4331285,184
10.2307/4331286,749
10.2307/4331287,427
10.2307/4331288,217
10.2307/4331289,234
10.2307/40271494,243
10.2307/40271491,590
10.2307/40271490,591
10.2307/40271493,591
10.2307/40271492,425
10.2307/4331132,123
10.2307/4331133,154
10.2307/4331130,462
10.2307/4331131,256
10.2307/4331136,588
10.2307/4331137,235
10.2307/4331134,134
10.2307/4331135,63
10.2307/4331918,184
10.2307/4331919,410
10.2307/4331910,555
10.2307/4331911,352
10.2307/4331912,234
10.2307/4331913,190
10.2307/4331916,103
10.2307/4331917,59
10.2307/4330719,839
10.2307/4330718,768
10.2307/4330715,159
10.2307/4330715,768
10.2307/4330714,212
10.2307/4330717,768
10.2307/4330716,768
10.2307/4330711,227
10.2307/4330710,313
10.2307/4330713,276
10.2307/4330712,80
10.2307/4331626,660
10.2307/4331627,709
10.2307/4331624,751
10.2307/4331625,21
10.2307/4331622,243
10.2307/4331623,234
10.2307/4331620,624
10.2307/4331621,523
10.2307/4331628,248
10.2307/4331629,493
10.2307/4330669,569
10.2307/4330668,432
10.2307/4330887,407
10.2307/4330886,588
10.2307/4330881,574
10.2307/4330880,443
