DOI,Author
10.1007/s10739-013-9364-x,619
10.2307/4330832,139
10.2307/4330833,386
10.2307/4330834,69
10.2307/4330834,383
10.2307/4330834,101
10.2307/4330835,793
10.2307/4330836,570
10.2307/4330837,723
10.2307/4330838,588
10.1007/s10739-015-9413-8,523
10.1007/s10739-014-9391-2,27
10.2307/42628792,171
10.2307/42628792,256
10.2307/42628792,374
10.2307/42628793,429
10.2307/42628790,769
10.2307/42628791,65
10.1007/s10739-012-9348-2,225
10.2307/42628794,302
10.2307/42628795,360
10.2307/29737444,21
10.2307/29737445,17
10.2307/29737446,169
10.2307/29737447,409
10.2307/29737443,263
10.2307/29737443,21
10.2307/29737448,263
10.2307/29737449,593
10.1007/s10739-014-9395-y,67
10.1007/s10739-013-9372-x,223
10.1007/s10739-014-9386-z,369
10.2307/4330613,226
10.2307/41488418,98
10.2307/41488419,90
10.2307/41488416,379
10.2307/41488417,234
10.2307/41488414,681
10.2307/41488415,565
10.2307/41488412,84
10.2307/41488412,831
10.2307/41488413,116
10.2307/4331815,751
10.2307/4331766,791
10.2307/4331817,234
10.2307/4331816,85
10.2307/4331763,124
10.2307/4331762,332
10.2307/4331813,105
10.2307/4331760,167
10.1007/s10739-015-9399-2,125
10.2307/42628770,247
10.2307/42628771,420
10.2307/42628772,342
10.2307/42628773,783
10.2307/42628774,314
10.2307/42628775,334
10.2307/42628776,124
10.2307/42628777,547
10.2307/42628778,532
10.2307/4331268,123
10.2307/4331269,58
10.2307/4331266,211
10.2307/4331267,356
10.2307/4331264,660
10.2307/4331265,332
10.2307/4331262,180
10.2307/4331262,598
10.2307/4331263,326
10.2307/4331260,278
10.2307/4331261,180
10.2307/4331261,123
10.2307/4331864,86
10.2307/4331865,612
10.2307/4331866,523
10.2307/4331867,199
10.2307/4331860,824
10.2307/4331861,234
10.2307/4331862,176
10.2307/4331863,156
10.2307/40802750,126
10.2307/40802751,579
10.2307/4331868,181
10.2307/4331869,291
10.2307/4331198,259
10.1007/s10739-012-9344-6,761
10.1007/s10739-012-9344-6,576
10.2307/4331190,158
10.2307/4331191,552
10.2307/4331192,184
10.2307/4331193,124
10.2307/4331194,9
10.2307/4331195,632
10.2307/4331196,452
10.2307/4331197,411
10.2307/4331468,264
10.2307/4331469,331
10.1007/s10739-014-9398-8,678
10.2307/4331460,780
10.2307/4331463,399
10.2307/4331464,397
10.2307/4331465,604
10.2307/4331466,763
10.2307/4331467,550
10.1007/s10739-013-9358-8,532
10.2307/40271521,796
10.2307/40271520,267
10.2307/40271523,234
10.2307/40271522,98
10.2307/40271525,654
10.2307/40271524,370
10.2307/40271526,377
10.1007/s10739-013-9350-3,713
10.2307/25650624,688
10.2307/4331991,348
10.2307/4331992,755
10.2307/4331992,643
10.2307/25650627,145
10.2307/25650627,236
10.2307/25650627,834
10.2307/4331994,497
10.2307/4331995,142
10.2307/4331996,658
10.2307/4331997,433
10.2307/4331998,589
10.2307/4331999,367
10.2307/25650628,170
10.2307/25650629,51
10.2307/4331684,757
10.2307/4331685,355
10.1007/s10739-012-9341-9,429
10.2307/4331687,85
10.1007/s10739-013-9354-z,81
10.2307/4331682,751
10.2307/4331683,755
10.2307/4331688,517
10.2307/4331689,534
10.2307/4331046,796
10.2307/4331515,313
10.2307/4331516,28
10.2307/4331517,234
10.2307/4331042,376
10.2307/4331511,232
10.2307/4331512,826
10.2307/4331041,256
10.2307/4331518,626
10.2307/4331519,43
10.2307/4331049,94
10.2307/4330931,796
10.2307/4330933,342
10.2307/4330932,58
10.2307/4330935,588
10.2307/4330934,85
10.2307/4330937,588
10.2307/4330936,588
10.2307/4330939,588
10.2307/4330938,588
10.2307/4330489,124
10.2307/4330488,11
10.2307/4330483,570
10.2307/4330485,516
10.2307/4330484,400
10.2307/4330487,461
10.2307/4330486,155
10.2307/4330809,588
10.2307/4330808,588
10.2307/4330805,372
10.2307/4330804,98
10.2307/4330807,588
10.2307/4330806,588
10.2307/4330801,227
10.2307/4330800,139
10.2307/4330803,568
10.2307/4330802,443
10.2307/4331714,238
10.2307/4330979,477
10.2307/4331068,419
10.2307/4330978,347
10.2307/4330596,577
10.1007/s10739-012-9326-8,247
10.2307/4331065,660
10.2307/4331065,634
10.2307/4331065,123
10.2307/4331066,215
10.2307/4330598,830
10.2307/42628789,756
10.2307/40271538,796
10.2307/29737457,772
10.2307/29737456,318
10.2307/29737455,317
10.2307/29737454,100
10.2307/29737453,820
10.2307/29737452,297
10.2307/29737451,796
10.2307/29737450,351
10.2307/29737458,488
10.2307/40271537,120
10.1007/s10739-015-9403-x,790
10.1007/s10739-013-9351-2,418
10.2307/41488401,520
10.2307/41488400,445
10.2307/42628761,124
10.2307/41488402,241
10.2307/41488402,388
10.2307/41488405,223
10.2307/42628766,713
10.2307/41488407,43
10.2307/41488406,200
10.2307/41488409,149
10.2307/41488408,425
10.2307/42628769,342
10.2307/42628769,420
10.2307/4331219,326
10.2307/4331218,460
10.2307/4331211,125
10.2307/4331210,184
10.2307/4331217,269
10.2307/4331216,544
10.2307/4331215,411
10.2307/4331214,337
10.2307/4331214,207
10.2307/4331520,200
10.2307/40271530,98
10.2307/4331851,661
10.2307/4331850,103
10.2307/4331853,213
10.2307/4331852,210
10.2307/40802749,243
10.2307/40802748,601
10.2307/4331857,98
10.2307/4331856,282
10.2307/4331859,44
10.2307/4331858,361
10.2307/40802747,713
10.2307/40802746,691
10.2307/40802741,601
10.2307/40802740,396
10.2307/40802743,769
10.2307/40802742,384
10.2307/40271531,139
10.2307/4331455,217
10.2307/4331326,841
10.2307/4331325,25
10.2307/4331456,523
10.2307/4331451,841
10.2307/4331453,359
10.2307/4331320,86
10.2307/4331459,234
10.2307/4331458,335
10.2307/4331329,78
10.2307/4331328,337
10.2307/4331328,207
10.2307/4330745,555
10.2307/4330966,751
10.2307/4330743,133
10.2307/40271554,562
10.2307/40271555,146
10.2307/40271550,680
10.2307/40271551,442
10.2307/40271552,221
10.2307/40271553,500
10.2307/4331618,261
10.2307/40271558,644
10.2307/40271559,726
10.2307/25650636,555
10.2307/25650635,375
10.2307/25650634,532
10.2307/25650633,744
10.2307/25650632,243
10.2307/25650631,833
10.2307/25650630,306
10.2307/4330580,332
10.2307/4331030,282
10.2307/4331524,496
10.2307/4331529,184
10.2307/4331528,615
10.2307/4331039,453
10.2307/4331038,703
10.2307/4331043,85
10.2307/4331735,720
10.2307/4331040,299
10.2307/4330496,275
10.2307/4330496,531
10.2307/4330497,400
10.2307/4330494,435
10.2307/4330495,776
10.2307/4330493,134
10.2307/4330490,201
10.2307/4330491,2
10.2307/4331147,185
10.2307/4331146,132
10.2307/4331145,419
10.2307/4331144,269
10.2307/4331143,543
10.2307/4331142,308
10.2307/4331141,322
10.2307/4330499,124
10.2307/4330499,62
10.2307/4330818,227
10.2307/4330819,535
10.2307/4330819,827
10.2307/4330810,151
10.2307/4330811,151
10.2307/4330816,398
10.2307/4330817,278
10.2307/4330815,144
10.2307/4330584,461
10.2307/4330584,324
10.2307/4330928,322
10.2307/4330926,571
10.2307/4330927,588
10.2307/4330924,588
10.2307/4330925,151
10.2307/4330922,400
10.2307/4330923,268
10.2307/4330920,546
10.2307/4330921,293
10.2307/4331947,828
10.2307/4331498,98
10.2307/4331045,85
10.2307/4330586,24
10.2307/4331070,508
10.2307/4331944,479
10.2307/4331944,531
10.1007/s10739-014-9381-4,524
10.2307/4331396,79
10.2307/4330587,734
10.2307/4331397,397
10.2307/4330588,15
10.2307/4330588,703
10.2307/29737468,103
10.2307/29737469,485
10.2307/4331497,200
10.2307/29737463,117
10.2307/29737463,651
10.2307/29737466,366
10.2307/29737467,318
10.2307/29737464,811
10.2307/29737465,684
10.2307/4331395,671
10.1007/s10739-014-9385-0,511
10.1007/s10739-014-9385-0,424
10.2307/4330739,324
10.1007/s10739-014-9376-1,334
10.2307/4331015,161
10.2307/4331392,306
10.2307/4331525,492
10.2307/4330545,400
10.2307/42628765,418
10.2307/4331549,751
10.2307/4331548,421
10.2307/4331548,603
10.2307/4331390,518
10.2307/4330540,461
10.2307/4330541,608
10.2307/42628764,580
10.2307/29737480,443
10.2307/29737481,541
10.2307/29737482,229
10.2307/29737483,219
10.2307/29737484,622
10.2307/29737485,268
10.2307/29737486,56
10.2307/29737487,98
10.2307/29737488,413
10.2307/29737489,512
10.2307/4331016,588
10.2307/4331547,325
10.2307/4331546,709
10.2307/4331208,77
10.2307/4331209,84
10.2307/4331013,588
10.2307/4331201,184
10.2307/4331202,660
10.2307/4331203,462
10.2307/4331203,61
10.2307/4331204,542
10.2307/4331205,353
10.2307/4331206,796
10.2307/4331207,94
10.2307/4331424,44
10.2307/4331425,185
10.2307/4331426,604
10.2307/4331427,21
10.2307/4331420,46
10.2307/4331937,759
10.2307/42628763,230
10.2307/42628763,697
10.2307/4331422,701
10.2307/42628762,156
10.2307/4331391,482
10.2307/4331391,522
10.2307/41488403,310
10.2307/4331833,94
10.2307/42628760,761
10.2307/42628760,576
10.2307/4331784,17
10.2307/4331831,21
10.2307/41488404,746
10.2307/4331442,796
10.2307/4331335,381
10.2307/4331336,460
10.2307/4331337,439
10.2307/4331446,625
10.2307/4331446,337
10.2307/4331446,147
10.2307/4331446,207
10.2307/4331331,595
10.2307/4331331,66
10.2307/4331331,92
10.2307/4331837,231
10.2307/4331448,341
10.2307/4331449,54
10.2307/4331338,773
10.2307/4331339,448
10.2307/4331780,430
10.1007/s10739-014-9387-y,548
10.2307/4331783,283
10.2307/4331058,73
10.2307/4331782,623
10.2307/40271547,557
10.2307/40271546,751
10.2307/40271545,313
10.2307/40271542,654
10.2307/40271541,457
10.2307/40271541,775
10.2307/40271541,7
10.2307/40271540,591
10.2307/40271549,313
10.2307/40271548,234
10.2307/4330795,212
10.2307/4330794,578
10.2307/4330796,212
10.2307/4330791,588
10.2307/4330790,124
10.2307/4330790,739
10.2307/4330793,151
10.2307/4330792,839
10.2307/4330557,202
10.2307/4330557,727
10.2307/4330556,410
10.2307/4330555,206
10.2307/4330554,627
10.2307/4330553,652
10.2307/4330552,494
10.2307/4330551,469
10.2307/4330550,469
10.2307/4331536,261
10.2307/4331537,72
10.2307/4331534,477
10.2307/4331535,166
10.2307/4331532,496
10.2307/4331533,696
10.2307/4330559,59
10.2307/4331020,278
10.2307/4331021,77
10.2307/4331022,2
10.2307/4331023,642
10.2307/4331024,161
10.2307/4331025,609
10.2307/4331026,282
10.2307/4331027,161
10.2307/4331028,588
10.2307/4331847,600
10.2307/4331844,105
10.2307/4331845,464
10.2307/4331842,617
10.2307/4331843,166
10.2307/4331840,265
10.2307/4331841,48
10.2307/4330746,740
10.2307/4331830,685
10.2307/4331830,692
10.2307/4331158,496
10.2307/4331159,165
10.2307/4331156,73
10.2307/4331157,26
10.2307/4331150,838
10.2307/4331151,838
10.2307/4331152,796
10.2307/4331153,407
10.1007/s10739-015-9412-9,810
10.1007/s10739-012-9336-6,65
10.2307/4330959,714
10.2307/4330958,443
10.2307/4330779,124
10.2307/4330778,85
10.2307/4330953,610
10.2307/4330952,322
10.2307/4330775,751
10.2307/4330775,796
10.2307/4330775,85
10.2307/4330774,380
10.2307/4330957,300
10.1007/s10739-013-9365-9,649
10.2307/4331050,308
10.1007/s10739-015-9417-4,741
10.2307/4331355,85
10.2307/4331389,115
10.2307/29737475,737
10.2307/29737474,333
10.2307/29737477,813
10.2307/29737476,758
10.2307/29737471,182
10.2307/29737470,545
10.2307/29737473,234
10.2307/29737472,555
10.2307/4331979,118
10.1007/s10739-011-9317-1,124
10.2307/4330945,560
10.2307/4331731,751
10.2307/4331731,570
10.2307/4331731,124
10.2307/4331731,354
10.1007/s10739-012-9334-8,697
10.1007/s10739-012-9334-8,463
10.2307/4330954,723
10.2307/4331044,329
10.1007/s10739-013-9363-y,821
10.2307/4331056,407
10.2307/41488460,253
10.2307/41488460,8
10.2307/29737492,667
10.2307/29737491,303
10.2307/29737490,306
10.2307/29737497,623
10.2307/29737497,475
10.2307/29737496,200
10.2307/29737495,98
10.2307/29737499,558
10.2307/29737499,763
10.2307/29737498,252
10.2307/4331235,290
10.2307/4331235,656
10.2307/4331234,806
10.2307/4331237,106
10.2307/4331236,84
10.2307/4331231,290
10.2307/4331230,838
10.2307/4331233,270
10.2307/4331232,766
10.2307/4331232,630
10.2307/4331239,234
10.2307/4331238,751
10.2307/4331544,184
10.2307/4330749,516
10.2307/4330749,385
10.2307/4331855,237
10.2307/4331854,0
10.2307/4331301,234
10.2307/4331300,152
10.2307/4331303,317
10.2307/4331302,85
10.2307/4331305,264
10.2307/4331304,751
10.2307/4331306,125
10.2307/4331309,59
10.2307/40802744,833
10.2307/4331499,772
10.2307/4331946,389
10.2307/4331945,19
10.2307/4331945,323
10.2307/4331945,553
10.2307/4331943,65
10.2307/4331942,38
10.2307/4331491,570
10.2307/4331493,17
10.2307/4331492,634
10.2307/4331495,43
10.2307/4331494,732
10.2307/4331949,754
10.2307/4331948,188
10.2307/4330780,11
10.2307/4330786,299
10.2307/4330787,431
10.2307/4330784,661
10.2307/4330785,455
10.2307/4330788,307
10.2307/4330789,528
10.2307/4330544,822
10.2307/4330546,461
10.2307/4330546,74
10.2307/4330546,206
10.2307/4330542,53
10.2307/4330543,325
10.2307/4331014,144
10.2307/4331540,156
10.2307/4330548,717
10.2307/4330548,653
10.2307/4331010,91
10.2307/4331545,686
10.2307/4331012,727
10.2307/4331839,626
10.2307/4331838,764
10.2307/4331789,707
10.2307/4331788,770
10.2307/4331785,494
10.2307/4331832,192
10.2307/4331787,22
10.2307/4331786,84
10.2307/4331781,158
10.2307/4331836,325
10.2307/4331835,709
10.2307/4331834,90
10.1007/s10739-015-9422-7,620
10.2307/4331161,702
10.2307/4331160,462
10.2307/4331163,85
10.2307/4331162,313
10.2307/4331165,353
10.2307/4331164,353
10.2307/4331167,407
10.2307/4331166,125
10.2307/4331327,162
10.2307/4331454,16
10.2307/4331457,523
10.2307/4331324,625
10.2307/4331324,337
10.2307/4331324,207
10.2307/4330766,71
10.2307/4331450,337
10.2307/4331450,207
10.2307/4330944,134
10.2307/4331452,625
10.2307/4330761,212
10.2307/4330948,20
10.2307/4330949,588
10.2307/4330768,422
10.2307/4330769,92
10.2307/4330940,588
10.2307/4330765,133
10.2307/4330767,453
10.2307/4330760,212
10.2307/4331476,637
10.2307/4330946,329
10.2307/4330947,816
