,Identifier,Latitude,Longitude,Name,CountryCode,CountryID
107,2661886,62.0,15.0,Sweden,SE,2661886
108,1845136,37.87472,127.73416999999999,Chuncheon,KR,1835841
109,2172563,-33.88965,151.17642,Camperdown,AU,2077456
110,2745912,52.09083,5.1222199999999996,Utrecht,NL,2750405
111,4990729,42.33143,-83.04575,Detroit,US,6252001
112,2950159,52.52437,13.41053,Berlin,DE,2921044
113,2658434,47.00016,8.01427,Switzerland,CH,2658434
114,4914570,40.11059,-88.20727,Urbana,US,6252001
115,5368361,34.05223,-118.24368,Los Angeles,US,6252001
116,2653941,52.2,0.11667000000000001,Cambridge,GB,2635167
117,4482348,35.500690000000006,-80.00032,North Carolina,US,6252001
118,4597040,34.00043,-81.00009,South Carolina,US,6252001
119,2171507,-34.424,150.89345,Wollongong,AU,2077456
120,2655984,54.596819999999994,-5.92541,Belfast,GB,2635167
121,524901,55.752219999999994,37.615559999999995,Moscow,RU,2017370
122,2965140,51.89797,-8.47061,Cork,IE,2963597
123,2193733,-36.86667,174.76667,Auckland,NZ,2186224
124,2190324,-37.78333,175.28333,Hamilton,NZ,2186224
125,2792482,50.87959,4.7009300000000005,Leuven,BE,2802361
126,2802361,50.75,4.5,Belgium,BE,2802361
127,4509884,39.75895,-84.19161,Dayton,US,6252001
128,2755251,53.21917,6.566669999999999,Groningen,NL,2750405
129,293788,32.08227,34.81065,Ramat Gan,IL,294640
130,3515431,19.54005,-99.19538,Tlalnepantla,MX,3996063
131,3996063,23.0,-102.0,Mexico,MX,3996063
132,5819244,41.583009999999994,-107.02198999999999,Bolten Ranch,US,6252001
133,4931482,42.331759999999996,-71.12116,Brookline,US,6252001
134,6091104,43.76681,-79.4163,North York,CA,6251999
135,2021044,43.23333,132.23333,Kyngol’,RU,2017370
136,5337696,34.09668,-117.71978,Claremont,US,6252001
137,1650535,-8.5,115.0,Bali,ID,1643084
138,1648148,1.0,114.0,Borneo,ID,1643084
139,357994,27.0,30.0,Egypt,EG,357994
140,5744337,44.00013,-120.50138999999999,Oregon,US,6252001
141,5815135,47.50012,-120.50147,Washington,US,6252001
142,5909050,53.99983,-125.0032,British Columbia,CA,6251999
143,4839822,41.1176,-73.4079,Norwalk,US,6252001
144,5134086,43.15478,-77.61556,Rochester,US,6252001
145,4407066,38.62727,-90.19789,St Louis,US,6252001
146,4155751,28.75054,-82.5001,Florida,US,6252001
147,4558942,39.846779999999995,-75.7116,Kennett Square,US,6252001
148,2800866,50.85045,4.3487800000000005,Brussels,BE,2802361
149,4845419,41.27065,-72.94705,West Haven,US,6252001
150,3658931,0.0,-90.5,Galapagos Islands,EC,3658394
151,4835797,41.763709999999996,-72.68509,Hartford,US,6252001
152,453733,59.0,26.0,Estonia,EE,453733
153,3077311,49.75,15.0,Czechia,CZ,3077311
154,6167865,43.700109999999995,-79.4163,Toronto,CA,6251999
155,2759794,52.37403,4.88969,Amsterdam,NL,2750405
156,5393052,36.97412,-122.0308,Santa Cruz,US,6252001
157,5128824,42.7798,-73.84568,Niskayuna,US,6252001
158,2657896,47.36667,8.55,Zurich,CH,2658434
159,6173331,49.24966,-123.11934,Vancouver,CA,6251999
160,4744709,38.881009999999996,-77.10428,Arlington,US,6252001
161,4943140,41.52539,-70.67253000000001,Marine Biological Laboratory,US,6252001
162,2660646,46.202220000000004,6.14569,Geneva,CH,2658434
163,4398678,38.25031,-92.50046,Missouri,US,6252001
164,2509954,39.46975,-0.37739,Valencia,ES,2510769
165,5100748,40.75982,-74.4171,Madison,US,6252001
166,5809844,47.60621,-122.33207,Seattle,US,6252001
167,2761369,48.208490000000005,16.37208,Vienna,AT,2782113
168,5855797,20.75028,-156.50028,Hawaii,US,6252001
169,2614481,55.64151999999999,12.08035,Roskilde,DK,2623032
170,293725,31.894209999999998,34.81199,Rehovot,IL,294640
171,4801859,38.34982,-81.63261999999999,Charleston,US,6252001
172,4771075,37.41375,-79.14225,Lynchburg,US,6252001
173,5150529,41.4995,-81.69541,Cleveland,US,6252001
174,5159537,41.15367,-81.35789,Kent,US,6252001
175,2629691,65.0,-18.0,Iceland,IS,2629691
176,2875601,53.868930000000006,10.687289999999999,Lübeck,DE,2921044
177,1849053,36.56667,139.88333,Utsunomiya,JP,1861060
178,1861060,35.685359999999996,139.75309,Japan,JP,1861060
179,5107129,42.978390000000005,-78.79975999999999,Amherst,US,6252001
180,5224151,41.82399,-71.41283,Providence,US,6252001
181,4297983,37.988690000000005,-84.47771999999999,Lexington,US,6252001
182,5843591,43.000240000000005,-107.5009,Wyoming,US,6252001
183,2172517,-35.28346,149.12807,Canberra,AU,2077456
184,5263045,43.0389,-87.90647,Milwaukee,US,6252001
185,6183235,49.8844,-97.14704,Winnipeg,CA,6251999
186,4562144,39.96097,-75.60804,West Chester,US,6252001
187,2792413,50.63373,5.56749,Liège,BE,2802361
188,3530597,19.42847,-99.12765999999999,Mexico City,MX,3996063
189,6077243,45.50884,-73.58781,Montreal,CA,6251999
190,5746545,45.52345,-122.67621000000001,Portland,US,6252001
191,5417618,39.00027,-105.50083000000001,Colorado,US,6252001
192,4381982,38.95171,-92.33407,Columbia,US,6252001
193,2638236,51.09479,-0.9399700000000001,Selborne,GB,2635167
194,5879092,64.00028,-150.00028,Alaska,US,6252001
195,5045360,44.94441,-93.09326999999999,Saint Paul,US,6252001
196,5391959,37.77493,-122.41942,San Francisco,US,6252001
197,2751773,52.15833,4.49306,Leiden,NL,2750405
198,3017381,,,,,-1
199,5139865,40.92565,-73.14094,Stony Brook,US,6252001
200,5574991,40.014990000000004,-105.27055,Boulder,US,6252001
201,45600349,,,,,-1
202,2867714,48.13743,11.57549,Munich,DE,2921044
203,5392952,34.42083,-119.69819,Santa Barbara,US,6252001
204,1814991,35.0,105.0,China,CN,1814991
205,798544,52.0,20.0,Poland,PL,798544
206,3169070,41.89193,12.511330000000001,Rome,IT,3175395
207,4891382,42.041140000000006,-87.69006,Evanston,US,6252001
208,5113375,40.80899,-73.96125,Columbia University,US,6252001
209,2895044,50.928779999999996,11.5899,Jena,DE,2921044
210,4469146,36.07264,-79.79198000000001,Greensboro,US,6252001
211,4835654,41.39593,-72.89676999999999,Hamden,US,6252001
212,1643084,-5.0,120.0,Indonesia,ID,1643084
213,360603,26.066670000000002,32.08333,Al Qārah,EG,357994
214,2638360,56.0,-4.0,Scotland,GB,2635167
215,4566966,18.24829,-66.49989000000001,Puerto Rico,PR,4566966
216,6254926,42.36565,-71.10831999999999,Massachusetts,US,6252001
217,5323777,37.41522,-122.06357,Ames Research Center,US,6252001
218,8596797,-22.596829999999997,140.50383,Saint Lucia,AU,2077456
219,3117735,40.4165,-3.70256,Madrid,ES,2510769
220,3175121,42.35055,13.39954,L’Aquila,IT,3175395
221,5780993,40.76078,-111.89105,Salt Lake City,US,6252001
222,5072006,40.8,-96.66696,Lincoln,US,6252001
223,5969782,43.25011,-79.84963,Hamilton,CA,6251999
224,5258393,42.584740000000004,-87.82119,Kenosha,US,6252001
225,6058560,42.98339,-81.23304,London,CA,6251999
226,4508722,39.162,-84.45689,Cincinnati,US,6252001
227,5419384,39.73915,-104.9847,Denver,US,6252001
228,2990969,47.21725,-1.55336,Nantes,FR,3017382
229,3369157,-33.92584,18.42322,Cape Town,ZA,953987
230,953987,-29.0,24.0,South Africa,ZA,953987
231,2640729,51.75222,-1.25596,Oxford,GB,2635167
232,4791160,38.90122,-77.26526,Vienna,US,6252001
233,2636512,51.25,-0.33333,Surrey,GB,2635167
234,1880252,1.28967,103.85007,Singapore,SG,1880251
235,2756669,51.81,4.67361,Dordrecht,NL,2750405
236,5132103,44.669779999999996,-74.98131,Potsdam,US,6252001
237,2650188,51.43158,-0.5523899999999999,Egham,GB,2635167
238,4747845,37.22957,-80.41394,Blacksburg,US,6252001
239,4464368,35.99403,-78.89862,Durham,US,6252001
240,2766824,47.799409999999995,13.043989999999999,Salzburg,AT,2782113
241,4699066,29.763279999999998,-95.36327,Houston,US,6252001
242,2636910,56.11903,-3.9368199999999995,Stirling,GB,2635167
243,2270229,38.66667,-9.2,Caparica,PT,2264397
244,2264397,39.6945,-8.13057,Portugal,PT,2264397
245,2267057,38.71667,-9.13333,Lisbon,PT,2264397
246,1735106,5.411230000000001,100.33543,George Town,MY,1733045
247,5454711,35.08449,-106.65113999999998,Albuquerque,US,6252001
248,3021372,47.31667,5.0166699999999995,Dijon,FR,3017382
249,4984029,42.97225,-85.95365,Allendale,US,6252001
250,6354908,46.1351,-60.1831,Sydney,CA,6251999
251,2661552,46.94809,7.447439999999999,Bern,CH,2658434
252,964137,-25.74486,28.187829999999998,Pretoria,ZA,953987
253,5381396,34.14778,-118.14452,Pasadena,US,6252001
254,2641170,52.9536,-1.15047,Nottingham,GB,2635167
255,2161608,-33.920190000000005,151.22241,Kensington,AU,2077456
256,5097751,40.26983,-74.79988,Ewing,US,6252001
257,2637487,50.90395,-1.40428,Southampton,GB,2635167
258,3413829,64.13548,-21.895410000000002,Reykjavik,IS,2629691
259,4180386,33.96095,-83.37794,Athens,US,6252001
260,5101717,40.48622,-74.45182,New Brunswick,US,6252001
261,5967629,43.54594,-80.25599,Guelph,CA,6251999
262,3530139,19.3467,-99.16174000000001,Coyoacán,MX,3996063
263,2968705,48.7939,2.3599200000000002,Villejuif,FR,3017382
264,5123459,40.81982,-73.73513,Kings Point,US,6252001
265,5946768,53.55014,-113.46871000000002,Edmonton,CA,6251999
266,4265737,39.4667,-87.41391,Terre Haute,US,6252001
267,3017392,49.12556,5.27225,Frana,FR,3017382
268,3562981,22.0,-79.5,Cuba,CU,3562981
269,6254928,37.548120000000004,-77.44675,Virginia,US,6252001
270,3865483,-34.0,-64.0,Argentina,AR,3865483
271,5398563,37.42411,-122.16608000000001,Stanford,US,6252001
272,5741646,45.0679,-122.80009,Mount Angel,US,6252001
273,2820860,48.522659999999995,9.05222,Tübingen,DE,2921044
274,5128638,43.00035,-75.4999,New York,US,6252001
275,3177090,44.83804,11.620569999999999,Ferrara,IT,3175395
276,8516282,40.81147,140.7939,Nijigaoka,JP,1861060
277,2525068,37.49223,15.07041,Catania,IT,3175395
278,5101760,40.16706,-74.49987,New Jersey,US,6252001
279,5180225,40.62593,-75.37046,Bethlehem,US,6252001
280,2176632,-33.41665,149.5806,Bathurst,AU,2077456
281,3094802,50.06143,19.93658,Krakow,PL,798544
282,4487042,35.7721,-78.63861,Raleigh,US,6252001
283,4361885,39.00039,-76.74996999999999,Maryland,US,6252001
284,1605651,15.5,101.0,Thailand,TH,1605651
285,3170647,43.708529999999996,10.4036,Pisa,IT,3175395
286,5812944,47.25288,-122.44429,Tacoma,US,6252001
287,2653117,51.01248,-3.94549,Chittlehampton,GB,2635167
288,4350635,39.27205,-76.73192,Catonsville,US,6252001
289,3078610,49.19522,16.607960000000002,Brno,CZ,3077311
290,2191562,-45.874159999999996,170.50361,Dunedin,NZ,2186224
291,5216774,40.802009999999996,-77.85639,University Park,US,6252001
292,235616,27.0,51.0,Persian Gulf,,-1
293,4520760,39.507,-84.74523,Oxford,US,6252001
294,2153770,-37.78333,144.95,Parkville,AU,2077456
295,4142643,38.69011,-75.38547,Georgetown,US,6252001
296,4574989,34.683440000000004,-82.83736999999999,Clemson,US,6252001
297,2649808,50.7236,-3.52751,Exeter,GB,2635167
298,4954801,42.60426,-70.89116,Wenham,US,6252001
