DOI,AboutLocation,AuthorLocation
10.2307/4331764,6252001,-1
10.2307/4331811,6252001,-1
10.2307/4331811,6269131,-1
10.2307/4331762,2017370,-1
10.2307/4331761,6252001,4174715
10.2307/4331812,-1,-1
10.2307/4331819,2661886,-1
10.2307/4331769,6269131,-1
10.2307/4331589,-1,5317058
10.2307/4331588,6252001,1845136
10.2307/4331587,6269131,2172563
10.2307/4331586,6269131,2745912
10.2307/4331585,2921044,4990729
10.2307/4331585,6269131,4990729
10.2307/4331584,-1,2950159
10.2307/4331581,6252001,-1
10.2307/4331580,2658434,-1
10.2307/4330698,-1,-1
10.2307/4330691,6269131,4914570
10.2307/4330692,2921044,8469294
10.2307/4330693,6269131,4930956
10.2307/4330694,-1,4254679
10.2307/4330695,-1,3143244
10.2307/4330696,2653941,5368361
10.2307/4330697,2782113,-1
10.2307/4331101,-1,-1
10.2307/4331100,4482348,-1
10.2307/4331100,4597040,-1
10.2307/4331107,6269131,-1
10.2307/4331106,6269131,2171507
10.2307/4331109,6269131,2655984
10.2307/4331108,-1,2988507
10.2307/4330746,6269131,5856195
10.2307/4330744,3017382,4929022
10.2307/4330745,4560349,5128581
10.2307/4330967,2658434,-1
10.2307/4330964,6252001,-1
10.2307/4330965,6252001,-1
10.2307/4331617,3469034,-1
10.2307/4331616,-1,-1
10.2307/4331615,2921044,-1
10.2307/4331614,-1,-1
10.2307/4331613,2921044,2950159
10.2307/4331612,6252001,-1
10.2307/4331611,6269131,4560349
10.2307/4330749,2017370,524901
10.2307/4330989,3017382,2965140
10.2307/4330984,6269131,-1
10.2307/4330984,2750405,-1
10.2307/4330981,6252001,-1
10.2307/4330983,6269131,-1
10.2307/4330885,2658434,-1
10.2307/4330884,2921044,-1
10.2307/29737538,6252001,-1
10.2307/29737539,6252001,-1
10.2307/29737530,2921044,2193733
10.2307/29737530,2921044,2190324
10.2307/29737531,2782113,5363943
10.2307/29737531,2921044,5363943
10.2307/29737532,2802361,2792482
10.2307/29737533,6252001,4509884
10.2307/29737534,2755251,2755251
10.2307/29737535,2017370,293788
10.2307/29737536,-1,-1
10.2307/4331774,-1,-1
10.2307/4331803,3996063,3515431
10.2307/4331772,2988507,-1
10.2307/4330777,6252001,5819244
10.2307/4331378,-1,4931482
10.2307/4331379,6269131,6091104
10.2307/4331370,6252001,-1
10.2307/4331371,6252001,-1
10.2307/4331371,2017370,-1
10.2307/4331373,4482348,-1
10.2307/4331376,6252001,-1
10.2307/4331377,2921044,-1
10.2307/4330513,-1,5363943
10.2307/4330512,-1,5327684
10.2307/4330511,2021044,4254679
10.2307/4330511,6269131,4254679
10.2307/4330510,-1,5337696
10.2307/4330517,6269131,-1
10.2307/4330516,-1,-1
10.2307/4330515,-1,4984247
10.2307/4330514,6269131,-1
10.2307/4330514,6252001,-1
10.2307/4331572,3017382,-1
10.2307/4331572,2658434,-1
10.2307/4331573,3017382,-1
10.2307/4331570,6251999,-1
10.2307/4331571,2921044,-1
10.2307/4331576,6252001,-1
10.2307/4331577,2017370,-1
10.2307/4331574,2077456,-1
10.2307/4331574,1650535,-1
10.2307/4331574,1648148,-1
10.2307/4331575,-1,-1
10.2307/4331578,-1,-1
10.2307/4331802,6269131,-1
10.2307/4331775,6252001,-1
10.2307/4331801,357994,-1
10.2307/4331801,3017382,-1
10.2307/4331806,6269131,4931972
10.2307/4331771,-1,-1
10.2307/4331804,6252001,281184
