identifier,lat,lng,name,countryCode,countryId
2658434.0,47.00016,8.01427,Switzerland,CH,2658434
4914570.0,40.11059,-88.20727,Urbana,US,6252001
5368361.0,34.05223,-118.24368,Los Angeles,US,6252001
2653941.0,52.2,0.11667,Cambridge,GB,2635167
4482348.0,35.50069,-80.00032,North Carolina,US,6252001
4597040.0,34.00043,-81.00009,South Carolina,US,6252001
2171507.0,-34.424,150.89345,Wollongong,AU,2077456
2655984.0,54.59682,-5.92541,Belfast,GB,2635167
524901.0,55.75222,37.61556,Moscow,RU,2017370
2965140.0,51.89797,-8.47061,Cork,IE,2963597
2193733.0,-36.86667,174.76667,Auckland,NZ,2186224
2190324.0,-37.78333,175.28333,Hamilton,NZ,2186224
2792482.0,50.87959,4.70093,Leuven,BE,2802361
2802361.0,50.75,4.5,Belgium,BE,2802361
4509884.0,39.75895,-84.19161,Dayton,US,6252001
2755251.0,53.21917,6.56667,Groningen,NL,2750405
293788.0,32.08227,34.81065,Ramat Gan,IL,294640
3515431.0,19.54005,-99.19538,Tlalnepantla,MX,3996063
3996063.0,23,-102,Mexico,MX,3996063
5819244.0,41.58301,-107.02199,Bolten Ranch,US,6252001
4931482.0,42.33176,-71.12116,Brookline,US,6252001
6091104.0,43.76681,-79.4163,North York,CA,6251999
2021044.0,43.23333,132.23333,Kyngol’,RU,2017370
5337696.0,34.09668,-117.71978,Claremont,US,6252001
1650535.0,-8.5,115,Bali,ID,1643084
1648148.0,1,114,Borneo,ID,1643084
357994.0,27,30,Egypt,EG,357994
5744337.0,44.00013,-120.50139,Oregon,US,6252001
5815135.0,47.50012,-120.50147,Washington,US,6252001
5909050.0,53.99983,-125.0032,British Columbia,CA,6251999
4839822.0,41.1176,-73.4079,Norwalk,US,6252001
5134086.0,43.15478,-77.61556,Rochester,US,6252001
4407066.0,38.62727,-90.19789,St Louis,US,6252001
4155751.0,28.75054,-82.5001,Florida,US,6252001
4558942.0,39.84678,-75.7116,Kennett Square,US,6252001
2800866.0,50.85045,4.34878,Brussels,BE,2802361
4845419.0,41.27065,-72.94705,West Haven,US,6252001
3658931.0,0,-90.5,Galapagos Islands,EC,3658394
4835797.0,41.76371,-72.68509,Hartford,US,6252001
453733.0,59,26,Estonia,EE,453733
3077311.0,49.75,15,Czechia,CZ,3077311
6167865.0,43.70011,-79.4163,Toronto,CA,6251999
