DOI,Relation,GeoNamesID
10.2307/4331362,author,2147714
10.2307/4331367,content,6252001
10.2307/4331367,author,4156404
10.2307/4331367,content,6269131
10.2307/4331367,author,4156404
10.2307/4331367,content,3175395
10.2307/4331367,author,4156404
10.2307/4331366,content,6269131
10.2307/4331366,author,5261457
10.2307/4331366,content,3017382
10.2307/4331366,author,5261457
10.2307/4331366,content,2623032
10.2307/4331366,author,5261457
10.2307/4331366,content,934292
10.2307/4331366,author,5261457
10.2307/4331365,content,2750405
10.2307/4331364,content,6269131
10.2307/4331364,author,4744326
10.2307/4330761,content,390903
10.2307/4331960,content,2921044
10.2307/4331965,content,3017382
10.2307/4331965,author,2988507
10.2307/4331967,content,6252001
10.2307/4331966,content,4138106
10.2307/4331966,author,2644688
10.2307/4331966,content,6252001
10.2307/4331966,author,2644688
10.2307/4331969,content,2782113
10.2307/4331969,author,5206379
10.2307/4331968,content,6252001
10.2307/4331968,author,5102922
10.2307/4331968,content,2782113
10.2307/4331968,author,5102922
10.2307/4330569,content,3017382
10.2307/4330569,author,4931972
10.2307/4330564,content,2629131
10.2307/4330564,author,5122432
10.2307/4330565,content,3017382
10.2307/4330565,author,4991640
10.2307/4330562,author,4930956
10.2307/4330563,content,2921044
10.2307/4330563,author,5969423
10.2307/4330560,content,3175395
10.2307/4330560,author,4930956
10.2307/4330561,author,2643743
10.2307/4331565,author,2650225
10.2307/4331565,author,2655603
10.2307/4331565,author,2657832
10.2307/4331564,content,6252001
10.2307/4331564,author,4560349
10.2307/4331567,content,4846834
10.2307/4331567,author,4143861
10.2307/4331566,author,2643123
10.2307/4331563,content,3017382
10.2307/4331563,author,5144040
10.2307/4331569,content,6252001
10.2307/4331569,content,6269131
10.2307/4331569,content,3017382
10.2307/4331569,content,2921044
10.2307/4331815,content,6252001
10.2307/4331814,content,2921044
10.2307/4331814,content,2017370
10.2307/4331765,content,6252001
10.2307/4331764,content,6252001
10.2307/4331811,content,6252001
10.2307/4331811,content,6269131
10.2307/4331762,content,2017370
10.2307/4331761,content,6252001
10.2307/4331761,author,4174715
10.2307/4331819,content,2661886
10.2307/4331769,content,6269131
10.2307/4331589,author,5317058
10.2307/4331588,content,6252001
10.2307/4331588,author,1845136
10.2307/4331587,content,6269131
10.2307/4331587,author,2172563
10.2307/4331586,content,6269131
10.2307/4331586,author,2745912
10.2307/4331585,content,2921044
10.2307/4331585,author,4990729
10.2307/4331585,content,6269131
10.2307/4331585,author,4990729
10.2307/4331584,author,2950159
10.2307/4331581,content,6252001
10.2307/4331580,content,2658434
10.2307/4330691,content,6269131
10.2307/4330691,author,4914570
10.2307/4330692,content,2921044
10.2307/4330692,author,8469294
10.2307/4330693,content,6269131
10.2307/4330693,author,4930956
10.2307/4330694,author,4254679
10.2307/4330695,author,3143244
10.2307/4330696,content,2653941
10.2307/4330696,author,5368361
10.2307/4330697,content,2782113
10.2307/4331100,content,4482348
10.2307/4331100,content,4597040
10.2307/4331107,content,6269131
10.2307/4331106,content,6269131
10.2307/4331106,author,2171507
10.2307/4331109,content,6269131
10.2307/4331109,author,2655984
