28980,Sequoia sempervirens
29057,Ostrinia nubilalis
29064,Panthera uncia
29073,Ursus maritimus
29088,Monachus schauinslandi
292239,Mentha arvensis
29347,[Clostridium] scindens
29546,Lawsonia intracellularis
29655,Zostera marina
29674,Eleusine indica
29695,Phragmites australis
29740,Ulmus americana
29780,Mangifera indica
29802,Rubia tinctorum
29818,Plantago major
298661,Rhus coriaria
29922,Mucor mucedo
299895,Cataglyphis bicolor
30076,Triatoma infestans
301693,Annona squamosa
301928,Venustaconcha ellipsiformis
302767,Calloplesiops altivelis
3037,Euglena longa
3039,Euglena gracilis
30397,Buteo buteo
30422,Corvus corone
30423,Corvus monedula
30455,Fulmarus glacialis
30520,Bos frontalis
30521,Bos grunniens
30527,Ovis ammon
30532,Dama dama
30538,Vicugna pacos
3055,Chlamydomonas reinhardtii
30589,Alouatta palliata
307630,Citrus macrophylla
3077,Chlorella vulgaris
3078,Chlorella pyrenoidosa
309271,Ficus benghalensis
30962,Oncorhynchus clarkii
318062,Euphorbia hirta
31869,Daubentonia madagascariensis
318982,Commiphora myrrha
31931,unidentified retrovirus
319699,Equus asinus x caballus
3197,Marchantia polymorpha
3225,Ceratodon purpureus
323764,Chilotilapia rhoadesii
32536,Acinonyx jubatus
32538,Leopardus pardalis
33113,Atropa belladonna
33117,Mandragora officinarum
33128,Papaver rhoeas
33189,Cronartium flaccidum
3339,Pinus contorta
33453,Dryas iulia
3347,Pinus radiata
3357,Pseudotsuga menziesii
33614,Coragyps atratus
33616,Gymnogyps californianus
3415,Liriodendron tulipifera
341683,Spondias purpurea
34205,Iris germanica
34316,Eucalyptus camaldulensis
34317,Eucalyptus globulus
3435,Persea americana
345573,Podiceps cristatus
345719,Pontia occidentalis
3469,Papaver somniferum
34774,Alosa pseudoharengus
34816,Morone saxatilis
34819,Glyptocephalus cynoglossus
3483,Cannabis sativa
34861,Sciurus niger
34869,Rupicapra rupicapra
34873,Oreamnos americanus
34882,Enhydra lutris
34884,Callorhinus ursinus
34924,Pica pica
3494,Ficus carica
349661,Serranus scriba
3513,Quercus alba
3538,Mirabilis jalapa
3555,Beta vulgaris subsp. vulgaris
35579,Stenotomus chrysops
355937,Salsola tragus
3562,Spinacia oleracea
35669,Larus argentatus
35670,Naja naja
3570,Dianthus caryophyllus
357811,Apogon imberbis
358,Agrobacterium tumefaciens
35845,Acetabularia acetabulum
35875,Allium fistulosum
35889,Nicotiana glutinosa
35933,Podophyllum peltatum
36180,Coregonus albula
36181,Coregonus artedi
36219,Boops boops
36231,Miopithecus talapoin
36278,Troglodytes troglodytes
36330,Plasmodium ovale
3635,Gossypium hirsutum
3641,Theobroma cacao
3649,Carica papaya
36500,salmonid fish
3652,Bryonia dioica
3656,Cucumis melo
3659,Cucumis sativus
36596,Prunus armeniaca
36599,Sorbus aucuparia
36610,Cydonia oblonga
36616,Mespilus germanica
3663,Cucurbita pepo
3668,Lagenaria siceraria
36722,Martes zibellina
3679,Ecballium elaterium
37000,Pyrrhocoris apterus
3702,Arabidopsis thaliana
37032,Suricata suricatta
37036,Larus dominicanus
3710,Brassica nigra
3711,Brassica rapa
37171,Damaliscus pygargus dorcas
371726,Pistacia lentiscus
37174,Ovis canadensis
37186,Hippotragus equinus
37189,Hippotragus niger
3719,Capsella bursa-pastoris
3724,Matthiola incana
3726,Raphanus sativus
37334,Citrus maxima
37349,Mammuthus primigenius
3747,Fragaria x ananassa
3750,Malus domestica
3755,Prunus dulcis
3758,Prunus domestica
37598,Fringilla coelebs
3760,Prunus persica
54769,Acanthis flammea
37623,Ostrea edulis
37645,Cucurbita ficifolia
38018,unidentified phage
38020,marmosets
381124,Zea mays subsp. mays
3813,Albizia julibrissin
3818,Arachis hypogaea
3827,Cicer arietinum
3832,Cyamopsis tetragonoloba
383689,Luscinia megarhynchos
3847,Glycine max
3859,Lathyrus odoratus
38596,Ajuga reptans
